CNN layer,Encoding accuracy
Anet-features.12,0.205
Anet-classifier.6,0.204
Anet-classifier.2,0.203
Anet-classifier.5,0.203
Vgg16-classifier.5,0.198
Anet-features.9,0.196
Vgg16-features.30,0.195
Anet-features.5,0.195
Anet-features.7,0.194
Vgg16-classifier.6,0.192
Anet-features.2,0.2
Vgg16-features.20,0.171
Resnet50-layer1.1.conv1,0.171
Resnet50-avgpool,0.158
Inv3-Mixed-6c.branch7x7-2.conv,0.158
Inv3-Mixed-5c.branch1x1.conv,0.150
Inv3-Mixed-6b.branch1x1.conv,0.149
Inv3-Conv2d-4a-3x3.conv,0.142
Inv3-Mixed-7c.branch-pool.conv,0.140
Resnet50-layer2.3.conv2,0.135
Resnet50-layer3.5.conv3,0.127
Resnet50-layer4.2.conv3,0.121
Inv3-avgpool,0.119
,
,
,
